Completion_Time,Feedback_Rating,Attendance,Performance_Score
1.1,5,6.13,93.04
2.17,1,87.55,79.87
1.51,2.4,0.94,88.07
1.78,1.18,60.19,55.4
3.22,3.33,59.99,70.09
5.55,4.58,64.06,70.73
4.9,2.36,89.65,68.45
4.24,3.18,74.44,64.9
2.46,2.5,86.58,84.03
6.84,3.64,39.83,71.07
3.05,3.7,67.36,60.03
1.08,3.82,92.07,87.11
4.73,5,51.77,80.15
1.73,1.49,98.74,71.97
2.76,5,82.41,85.3
3.89,3.26,71.62,69.48
6.7,5,81.4,68.91
3.75,4,56.14,59.62
4.87,2.06,75.7,58.28
7,3.54,99.25,62.43
1.59,2.66,61.76,61.16
2.83,2.909313072,86.11,70.72
3.1,1,71.75,56.71
3.58,2.63,53.35,52.39
3.36,4.68,60.24,82.08
6.91,4.33,73.52,54.34
5.21,2.88,99,84.8
4.73,3.16,59.76,48.82
3.3,4.95,45.71,75.52
6.43,1.8,78.78,45.61
6.33,4.96,78.25,67.65
6.26,3.93,80.76,71.93
1,1.8,0,62.76
4.91,3.65,17.12,76.12
1.19,1,95,75.73
2.45,1.45,91.35,87.85
1.02,2.94,30.12,98.89
4.69,4,70.66,78.86
5.17,2.83,88.53,88.37
1.38,1,99,83.43
3.34,1,0,66.55
4.21,2.55,94.97,65.8
3.42,2.8,57.92,69.54
1.71,3.97,95.72,96.46
3.958567264,2.909313072,67.33,58.75
5.59,4.44,68.85,68.61
1.07,3.89,62.76976795,73.89
1.53,3.16,46.5,70.92
2.81,3.45,60.47,79.1
6.92,1,63.04,51.22
5.48,3.25,28.52,67.57
4.93,2.42,57.06,38.78
3.1,3.96,72.01,78.77
4.48,2.06,64.1,46.49
1,2.58,0.21,72.25
5.11,3.42,24.95,63.78
6.6,2.42,95.87,78.23
3.958567264,3.61,73.33,62.64
6.58,1.31,26.42,52.2
5.03,1.15,86.98,61.88
2.2,2.65,55.35,62.42
3.958567264,4,71.91,69.34
1.52,5,56.57,82.36
3.78,1,99.38,58.33
1.69,3.66,40.8,78.05
1.37,3.9,2.49,98.87
3.51,3.95,36.32,67.08
3.17,3.33,73.49,81.05
4,1,53.01,51.31
4.89,1.43,3.17,69.45
1.74,2.41,8.91,64.18
1.69,5,80.27,93.52
4.42,1,54.71,54.7
3.39,3.73,94.2,65.49
5.1,3.36,77.19,78.75
5.27,1,52.01,39.25
6.16,3.39,96,60.32
5.38,1,62.76976795,61.26
3.16,2.909313072,93.43,67.81
5.31,2.65,92.84,88.44
2.46,3.8,0,86.85
3.15,2.06,62.76976795,46.72
5.74,3.66,62.35,63.82
3.45,2.11,93.78,75.92
6.24,4.4,7,77.8
6.2,2.05,62.76976795,51.72
6.64,3.1,72,54.15
6.36,3.8,58.76,52.03
3.74,3.76,98.42,75.75
3.02,1.82,37.9,68.74
4.68,1.8,59.55,48.39
2.77,3.02,50.46,88.74
4.4,2.61,62.14,57.04
5.64,5,96.94,91.06
5.05,2.84,50.55,40.56
3.71,3.53,21.72,72.97
1.71,4.56,75.24,94.71
4.08,2.65,74.4,79.14
2.06,5,58.17,90.95
6.62,4,74.73,71.82
2.98,1.44,70.58,61.12
2.34,2.4,94.52,90.93
1.2,1.43,7.19,57.83
5.05,2.94,62.88,66.95
4.41,1,81.22,51.64
3.17,1.97,57.59,76.57
1.81,2.909313072,62.76976795,77.07
3.14,4.24,76.91,64.36
3.11,2.88,61.74,56.1
4.59,3.99,65.06,80.58
5.06,2.89,62.26,48.27
3.67,1,82.51,56.51
2.16,2.67,77.68,67.36
6.54,4,26.28,65.93
3.88,3.92,53.38,91.32
4.66,2.62,56.7,77.18
1.82,5,54.06,87.66
3.68,1,94.49,61.56
1.14,4,0.73,100
3.55,3.17,97.53,64.51
6.33,1.8,57.41,28.61
2.83,1,99.68,63.64
1.35,2.29,8.21,89.34
1.25,2.12,4.93,94.09
3.06,1,75.76,64.87
2.11,2.909313072,28.23,91.21
1.52,1.74,8.47,83.5
5.32,1.4,82.2,46.45
4.08,3.66,54.58,66.15
2.9,3.52,11.56,75.18
5.93,4.13,29.13,65.79
1.58,2.64,48.55,82.12
6.75,2.37,80.7,60.73
3.11,1.87,74.98,67.2
6.12,2.58,40.85,56.62
3.958567264,5,76.59,85.65
6.14,1,75.82,40.85
3.958567264,2.55,50.97,62.52
2.33,4.05,64.12,69.77
6.45,1.01,52.66,34.82
3.33,4,95.01,92.87
3.3,1.93,86.26,74.65
3.31,2.13,99.81,77.77
4.48,1.8,41.58,55.12
1.62,1,93.92,70.65
4.41,3.33,0,78.79
3.77,3.26,72.66,65.51
5.47,4,61.13,70.98
6.26,3.53,86.92,53.72
3.54,1,95.21,64.32
3.15,1.8,61.77,47.05
3.04,2.83,58.77,67.79
2.28,5,84.81,96.7
1,2.909313072,98.85,94.21
2.93,2.03,87.5,71.35
2.13,5,64.23,87.74
6.9,5,71,66.46
4.67,1.8,1.03,45.45
3.21,3.27,53.38,87.66
4.77,1,88.57,58.45
2.14,1,46.29,60.73
4.01,2.71,63.75,57.73
4.53,3.67,96.9,72.44
4.3,1,82.67,69.83
3.56,2.909313072,98.52,64.85
6.75,3.29,79.01,43.43
6.77,4.85,91.06,66.88
5.19,4.76,0,84.15
4.49,3.91,66.87,73.47
5.06,1.98,98.2,62.42
1.97,2.78,51.1,62.24
3.29,2.67,88.44,65.18
1,1.35,6.01,70.32
3.87,1.21,12.73,65.2
4.26,3.22,44.28,70.48
2.08,3.62,78.11,81.02
6.95,4.52,5.09,62.6
6.08,1.17,93.31,54.68
4.89,1.32,43.19,53.01
4.08,3.53,52.77,81.89
6.13,1.4,65.61,47.28
1.6,2.65,0,61.26
5.5,1.5,71.53,51.88
1.59,2.89,83.89,74.41
5.43,1.8,62.76976795,37.63
2.55,2.909313072,84.02,85.23
6.66,5,69.7,72.93
6.38,1,89.78,43.09
2.07,1.06,51.84,58.09
3.42,2.96,58.99,76
6.74,1.8,82.49,46.51
3.72,1,97.05,70.66
6.62,1.06,85.67,42.46
4.46,1,89.82,54.12
3.44,3.97,55.94,86.41
2.81,2.22,83.75,91.55
1.86,1,64.51,65.47
3.958567264,1.34,93.49,58.89
3.17,2.34,87.38,58.55
3.61,1.1,71.22,44.62
3.75,3.97,85.53,92.43
4.3,1.62,65.44,74.7
5.78,4.77,4.11,60.93
7,5,97.62,72.14
3.3,3.36,66.27,81.09
6.1,4.03,39.07,63.89
5.1,1,23.33,30.5
4.92,3.35,62.38,51.01
6.41,5,94.12,61.37
2.36,3.3,68.04,73.07
3.958567264,5,53.12,98.42
5.79,3.46,83.3,61.88
3.24,2.83,89.09,94.47
5.73,1.61,35.93,40.69
6.11,5,2.97,65.44
1.04,2.09,72.42,71.84
6.47,2.96,68.24,68.79
3.61,1.8,99.15,64.22
4.1,1.07,91.75,71.58
4.31,2.17,73.98,77.23
6.92,4.33,93.96,58.97
1,1,0,79.88
3.72,5,5.61,94.92
4.7,1.7,62.76976795,56.02
4.98,3.22,88.62,68.27
5.33,1.8,72.82,42.15
2,3.37,55.37,82.46
2.98,2.59,63.66,78.79
3.2,2.42,70.11,69.09
6.28,1,87.46,40.15
2.68,1.37,53.65,75.07
2.21,1.85,82.98,59.98
6.49,1,85.8,36.83
1,5,9.94,84.33
7,1.8,88.03,42.89
4.87,1.57,58.91,46.48
5.99,4.41,79.36,60.96
2.48,2.909313072,97.06,61.96
3.958567264,3.05,2.32,81.15
5.93,1.4,53.21,50.19
5.82,4.92,86.82,64.71
5.78,5,66.66,64.63
2.23,1.88,57.32,85.44
6.02,1.82,95.81,60.92
5.45,1.16,50.54,39.99
5.21,2.909313072,93.51,53.23
5.33,3.5,60.93,48.27
6.2,3.78,72.8,71.32
4.88,1,92.62,54.93
1.77,1.03,91.2,75.21
3.64,1,94.6,54.81
1.82,3.22,97.02,92.91
3.37,3.52,45.09,77.11
3.16,3.37,82.82,73.52
1.44,5,69.52,95.7
3.45,4.55,62.76976795,66.2
2.14,1.8,71.58,66.77
6.1,1.96,87.15,52.05
6.2,4.45,75.07,58.96
1.06,1.45,52.4,84.68
3.958567264,2.92,87.26,63.61
3.74,3.53,51.02,68.03
2.68,5,46.69,80.18
1.3,4.33,71.83,90.52
3.61,4.94,40.11,72.24
6.15,4.91,90.92,72.35
5.36,1,8.83,56.8
1.6,4.51,94.28,98.39
1.31,4,85.64,100
3.33,3.34,56.74,71.3
2.59,3.92,87.73,84.73
2.33,3.7,51.92,75.43
2.8,1,51.35,46.89
5.81,4.13,54.17,51.17
6.92,3.12,71.88,43.59
3.83,5,61.77,80.68
6.41,3.25,99.21,78.63
2.67,2.24,77.11,60.56
4.31,1,62.76976795,54.29
2.6,2.38,63.94,71.37
4.98,2.909313072,62.76976795,49.49
7,1,66.77,29.12
4.2,2.17,84.94,69.02
2.72,2.35,73.69,66.44
4.54,1,48.82,48.17
1.39,5,79.6,95
6.25,4.46,88.44,75.26
3.68,2.909313072,54.52,68.16
4.05,5,88.84,89.05
4.6,1.8,78.16,52.87
4.62,1.05,83.45,54.65
1,1,66.38,68.71
5.19,3.86,70.47,75.58
2.07,3.79,22.62,93.27
5.52,5,98.96,73.36
6.24,4,74.85,73.09
5.86,1.55,61.59,67.27
3.97,1.55,62.76976795,65.86
4.41,4.3,60.99,56.85
1.67,2.909313072,75.37,58.29
5.37,1,51.98,37.53
2.6,3.58,95.24,92.9
4.4,2.55,90.93,71.86
2.51,4.81,86.29,75.65
2.21,1.23,80.49,82.31
4.33,1.11,78.99,59.06
1,2.7,99.84,88.03
5.69,4.48,35.42,51.85
2.6,2.35,55.18,69.36
1,5,6.24,100
3.71,1.8,71.06,72.56
1.11,2.41,4.6,92.18
2.44,5,99.93,96.21
5.48,4.26,79.42,77.55
1.58,4,60.23,96.54
6.49,1.08,75.18,46.45
1.24,1,0.39,68.72
2.67,1.84,88.72,66.34
5.64,1.91,50.03,40.08
3.28,2.64,75.25,92.31
1.41,2.909313072,61.76,84.92
2.96,1.8,1.61,62.31
2.86,1,57.65,51.18
5.79,1,83.32,43.3
3.29,5,7.06,78.9
5.76,5,67.83,63.99
6.15,4.24,97.03,79.95
3.88,2.76,62.02,81.07
3.958567264,3.41,23.04,41.62
3.72,2.04,53.46,61.28
7,1.8,75.23,38.7
1.71,3.24,2.15,79.03
4.73,3.66,66.36,72.6
3.72,3.1,84.51,70.71
3.35,5,53.05,73.36
5.15,3.76,92.87,69.22
4.9,1,6.71,45.61
1,2.909313072,0.14,72.98
1.57,2.95,96.83,82.26
5.29,4.68,67.81,62.97
5.38,1.66,69.96,50.3
6.34,2.89,87.3,66.26
5.28,5,56.7,68.46
6.89,3.45,65.7,49.21
5.55,3.79,55.93,69.55
3.1,1.62,72.74,68.67
1.92,1.71,77.6,82.31
3.958567264,3.86,60.56,66.62
4.76,5,51.33,77.55
1.77,3.98,1.19,78.36
3.65,1.64,23.6,62.79
6.84,1.46,98.67,45.74
4.21,3.42,25.12,48.01
4.05,1.77,45.67,81.31
3.7,5,71.74,81.92
1.89,2.38,52.98,65.01
3.38,1,38.06,58.15
3.68,2.94,75.84,62.82
1.51,3.62,92.73,85.45
5.91,1.96,0.56,49.83
3.42,2.73,53.97,57.89
5.53,3.74,60.46,65.05
5.77,1.83,62.76976795,33.73
2.75,3.96,6.74,68.91
4.93,5,72.84,69.75
3.34,2.909313072,99.22,67.94
3.958567264,3.21,75.73,58.59
2.29,5,87.09,83.77
5.41,1.62,84.15,69.89
4.7,3.58,92.5,68.23
2.37,1.39,60.79,65
1.94,5,50.4,97.06
5.41,4.83,94.07,82.6
4.96,3.89,62.76976795,45.51
3.23,1,67.34,56.22
4.61,2.89,98.51,49.11
3.26,1,89.04,59.14
5.15,4.13,64.13,61.98
2.6,1,57.07,56.72
6.34,3.95,70.22,46.78
2.67,2.01,74.5,87.12
3.53,1.18,33.75,57.56
1,2.05,63.97,87.29
1.26,5,83.74,95.9
3.62,2.78,88.93,61.02
2.8,1.92,93.7,91.51
6.04,3.79,57.77,65.45
1.47,1.59,0,79.83
3.27,1,62.74,53.05
2.74,3.89,62.76976795,74.8
1.43,4,5.67,100
1.54,3.36,72.73,79.27
3.92,3.29,0,50.68
3.71,3.53,57.99,68.88
3.1,2.909313072,73.65,70.34
4.18,2.909313072,88.13,73.41
4.12,2.909313072,99.86,85.77
1,2.86,5.53,92.08
3.78,5,93.85,89.66
6.5,2.909313072,87.39,67.88
3.62,5,94.77,76.4
4.87,2.4,53.81,37.46
2.85,4.14,96.5,93.73
5.53,2.909313072,69.82,73.76
5.28,1.8,62.76976795,49.63
4.21,2.75,53.79,61.86
7,1.04,85.76,46.46
1.93,3.82,86.78,95
1,3.69,0.32,97.34
5.26,1.8,88.44,45.54
5.84,3.51,69.13,71.25
2.11,1,77.86,71.47
2.56,4.99,33.31,87.46
1,2.63,4.69,72.75
2.35,3.11,62.43,61.94
6.08,1,61.1,45.71
4.35,1,56.52,50.62
2.9,2.65,95.31,82.18
3.03,4,95.64,77.16
1.41,1,0,61.38
2.48,1.25,53.99,50.8
4.92,2.09,62.26,37.98
7,2.98,41.36,60.67
5.98,2.85,54.74,55.51
1,2.03,3.98,63.49
6.12,2.909313072,79.39,59.34
6.1,2.14,78.91,43.51
5.7,4.41,77.17,71.53
3.958567264,4,66.93,84.02
3.45,4.59,85.32,80.86
3.26,4,91.32,94.41
1.8,4.05,67.31,91.71
2.35,5,3.14,83.6
2.3,4.88,36.47,70
4,2.02,56.87,51.01
5.65,1,73.37,45.68
3.84,1.31,57.8,58.02
1.67,4.31,73.14,86.06
6.43,3.29,61.05,39.04
6.49,2.909313072,86.94,50.49
3.958567264,2.67,16.39,54.1
6.7,1.73,77.74,41.64
4.21,3.15,58.47,63.14
7,2.69,50.05,66.33
1.58,3.79,93.46,93.06
3.64,3.47,83.58,80.44
2.57,3.13,54.95,69.98
2.39,1.95,83.2,82.75
1.93,2.55,80.58,66.55
4.37,3.58,73.67,76.38
5.71,1,70.96,49.66
4.22,1,94.35,52.1
2.38,4.8,62.26,88.71
5.64,1.5,69.92,42.3
4.55,3.29,33.6,57.38
3.45,1,88.56,54.47
5.05,2.35,56.84,57.12
2.08,1,92.49,70.82
2.7,2.02,57.29,61.7
6.81,4.43,99.34,72.09
2.72,2.35,84.86,86.28
3.47,2.909313072,87.55,71.31
6.31,2.5,99.14,79.29
5,1,50.35,46.05
1.09,2.1,81.7,77.5
2.34,1.4,86.95,64.7
1,2.48,6.25,94.41
4.34,2.48,61.85,62.02
4.16,2.45,92.1,80.64
2.1,2.05,76.88,94.73
6.5,2.18,76.87,52.63
4.09,2.51,50.35,69.1
2.81,5,23.24,89.33
3.86,2,77.23,64.1
5.15,1,71.76,58.42
1.49,4.67,42.83,90.09
2.55,1.45,70.02,78.81
5.98,1.8,95.89,47.73
3.73,1.5,67.96,65.59
3.958567264,4.47,92.81,73.95
3.91,2.48,95.14,74.82
1,1.51,7.8,72.57
1.95,4,72.35,94.29
3.75,4.85,88.05,83.04
2.47,2.73,85.4,83.3
1.21,2.72,7.84,85.27
6.3,2.59,55.13,68.55
6.52,1.34,63.24,33.65
5.91,3.6,56.55,44.53
6.45,1.17,25.01,57.72
2.84,5,63.09,84.92
6.84,1.95,81.89,37.41
1.99,2.94,97.72,100
6.37,3.62,84.29,56.38
6.82,2.24,73.8,57.53
5.31,1,60.92,52.18
6.59,1,86.39,39.81
4.87,4.97,70.7,72.01
2.96,2.82,45.55,94.5
3.15,3.45,92.31,72.72
4.62,5,95.27,93.4
1.73,4,51.04,93.41
4.48,4.52,18.01,55.3
3.958567264,4.5,64.24,67.36
2.05,3.54,34.84,67.58
5.46,4.83,50.49,52.46
6.56,1,90.25,41.79
7,1.79,75.87,60.35
6.63,1,3.58,37.29
4.18,3.27,95.73,81.55
6.69,5,62.76976795,63.8
5.92,2.75,75.16,47.7
3.958567264,2.09,64.53,70.37
3.54,1.93,65.26,61.4
5.71,4.99,68.83,67.77
2.13,1.95,72.45,61.48
4.44,4.97,58.18,62.53
5.15,1.99,54.73,49.43
1.87,1.8,73.65,63.05
4.42,1,73.25,48.32
5.78,2.909313072,82.67,43.5
3.54,3.97,73.55,75.18
1,5,5.19,91.86
1.01,2.51,8.58,84.16
2.91,2.05,95.34,80.13
3.958567264,1.39,57.97,30.92
1.96,4.8,84.49,76.86
5.11,1.38,79.69,50.52
2.74,3.24,87.43,81.06
2.58,5,57.53,87.95
5.84,2.58,97.08,52.21
5.52,2.06,81.05,74.19
2.02,2.69,62.76976795,65.38
3.37,1.5,62.33,58.41
1.54,1,3.91,70.49
3.9,2.21,52.84,68.53
5.43,2.49,69.87,46.72
1.35,2.29,69.2,72.16
3.2,3.47,82.89,76.31
3.33,1.2,54.67,52.94
6.97,5,50.03,65.19
6.92,5,52.14,61.13
3.958567264,2.4,0,74.54
5.87,1.57,50.73,45
3.45,2.88,54.92,57.83
3.47,3.42,98.59,88.06
5.45,1.29,93.42,63.92
6.8,4.42,45.36,57.29
7,1,90.95,46.14
3.97,2.6,94.38,72.96
3.23,2.91,62.97,59.49
6.1,3.77,92.47,82.09
2.66,4.34,59.74,87.84
3.958567264,1,70.67,45.93
3.55,2.07,77.91,68.69
5.19,1.7,85.69,52.31
2.66,3.44,51.51,62.03
2.61,5,64.53,87.07
6.87,2.11,80.43,62.11
1.93,3.14,46.24,73.76
3.63,1,50.29,64.08
2.07,3.2,82.58,95.11
1.29,2.5,2.4,81.7
1.43,1.87,2.8,72.06
1.85,2.67,81.45,68.49
5.79,3.14,72.52,52.97
2.5,3.84,58.45,87.14
6.97,2.88,66.32,52.25
4.87,1,65.15,54.44
4.03,2.909313072,55.41,63.63
4.36,5,77.35,75.87
3.97,3.16,88.18,63.07
5.46,1.8,78.77,51.85
2.57,3.14,91.31,77.94
3.29,4.46,56.38,77.64
6.22,4.65,32.36,58.32
6.2,4,80.47,75.5
6.3,1.48,83.8,53.62
3.24,2.1,84.79,57.86
5.21,5,86.45,77.71
3.83,2.54,82.57,69.41
3.7,3.29,54.71,70.18
2.18,3.47,47.85,82.38
4.33,4.79,86.24,66.29
2.22,1.62,4.06,70.54
3.48,2.02,84.67,82.27
6.18,5,84.34,67.96
2.39,4.81,75.74,80.41
1.85,1.95,93.4,82.51
1.28,1,74.6,74.17
6.31,2.14,88.95,45.5
3.82,1.36,80.63,64.11
3.958567264,2.04,53.95,52.48
6.02,3.81,62.76976795,80.39
5.51,4.93,63.49,70.82
3.34,2.64,88.78,81.52
3.958567264,2.07,56.23,54.95
6.03,1,82.69,52.65
5.38,4,64.79,81.31
2.4,1,88.01,73.19
6.57,1.23,62.02,36.37
3.87,2.78,84.2,67.09
2.9,3.5,64.75,90.75
3.25,4,13.51,82.67
1.63,1.84,0.53,61.95
1.59,5,24.71,86.87
5.42,2.909313072,82.96,53.83
1.42,1.8,7.96,70.28
3.958567264,4,64.45,88.07
3.83,5,61.8,79.04
1.25,2.38,90.46,87.63
7,3.1,67.68,55.64
2.51,3.25,95.02,93.04
3,3.15,89.37,91.16
3.958567264,2.56,62.76976795,84.29
2,2.21,70.36,76.4
1.03,3.87,0,100
5.61,4,89.26,84.29
6.94,2.27,24.08,33.01
2.3,2.4,62.76976795,89.34
4.5,4.6,80.12,61.6
5.01,1,64.5,58.52
5.71,4.25,57.48,70.23
3.38,2.02,71.38,49.59
2.44,1.03,62.76976795,72.99
2.88,4.28,91.47,95.69
4.96,1.65,94.94,57.42
6.18,1.71,53.41,48.15
2.46,4,65.1,89.15
3.12,3.51,0,62.27
6.42,3.23,38.15,48.35
6.29,3.56,32.97,54.79
6.95,2.88,74.81,50.58
6.03,5,83.16,68.28
3,4,74.87,87.28
4.9,3.61,83.29,66.76
4.97,3.27,53.32,68.25
1,2.909313072,93.8,89.25
4.74,3.95,96.95,69.48
5.73,4.43,80.9,70.18
1.88,3.67,62.76976795,95.64
6.13,3.03,0,56.02
4.14,1,57.32,55.06
6.89,1,55.96,39.56
1,2.94,2.29,71.28
2.34,2.93,66.19,64.26
4.89,2.909313072,79.28,73.73
2.66,1,43.71,54.14
4.8,2.02,81.87,76.54
5.46,3.66,68.37,43.63
1.35,2.04,93.04,79.55
4.26,2.11,81.69,73.05
3.74,1,37.39,53.58
3.56,4,66.81,86.48
6.37,1,92.37,38.53
5.86,1.78,69.32,53.17
4.98,2.4,76.79,79.32
5.43,5,82.45,72.23
3.37,1.97,67.39,55.36
6.51,2.909313072,62.76976795,49.35
5,5,35.46,72.62
5.75,5,32.35,77.8
5.74,5,64.21,70.3
2.97,2.909313072,53.1,56.62
5.51,4,65.2,77.5
1.76,1,42.9,56.79
2.77,1.91,61.22,62.41
2.61,5,50.68,89.46
6.89,2.6,89.37,44.77
6.63,2.909313072,52.27,37.32
4.74,1,55.33,47.76
5.32,4.3,90.73,63.21
4.26,5,44.05,81.05
6.52,4.3,59.55,58.55
3.81,1,70.24,58.82
3.68,2.81,76.93,72.42
1.5,5,92.18,100
3.958567264,2.26,5.48,63.19
5.16,3.09,79.84,52.31
3.19,2.93,85.85,93.63
1.07,3.63,2.32,97.99
5.83,2.85,90.36,41.9
1,2.74,9.01,64.42
4.83,2.909313072,49.91,51.82
6.62,5,88.16,66.71
3.95,2.909313072,86.49,59.45
2.04,1.05,91.01,76.33
5.47,1,95.19,54.93
5.69,5,54.92,66.95
4.66,2.18,16.55,55.4
6.73,3.63,5.82,75.32
1,5,62.62,95.88
4.52,1.82,52.93,41.19
4.99,2.66,70.06,54.88
6.25,1.9,90.99,40.2
2.15,3.63,56.33,88.04
5.67,4.67,83.59,64.67
4.77,2.1,50.18,40.77
3.72,3.04,62.76976795,46.19
2.12,4.13,67.54,67.49
6.66,4.56,14.64,69.53
1.9,4.57,59.64,89.92
2.46,2.47,93.2,89.61
3.01,2.27,87.78,74.08
6.11,1,62.12,31.26
4.73,4,0,81.74
5.76,2.67,59.21,32.62
2.93,5,64.06,93.93
4.42,2.909313072,75.8,55.97
4.78,1.84,48.04,48.47
5.92,3.56,54.73,63.61
6.08,5,64.83,69.64
1.42,2.86,8.34,100
3.958567264,1,71.46,45.81
1.1,1.52,96.94,70.84
4.09,3.06,99.57,77.3
2.62,2.55,76.33,83.91
3.15,1.96,64.4,79.25
2.63,3.32,89.54,64.72
4.45,4,57.97,78.23
3.21,2.909313072,62.6,73.43
5.31,5,89.24,79.82
3.26,1.16,71.68,68.55
1.78,2.909313072,7.13,71.35
6.12,3.91,5.84,79.79
3.16,4.93,64.88,84.38
3.37,5,62.76976795,77.06
5.52,5,63.85,78.06
3.23,3.5,61.06,72.5
1,4,68.99,78.52
3.35,1,88.17,56.84
6.2,1.96,85.69,41.58
5.06,1.8,48.63,53.31
5.26,3.34,25.23,40.69
5.08,1.82,22.15,52.49
1.86,3.02,61.16,60.96
3.64,3.24,30.97,63.14
5.19,4.28,57.32,53.35
2.06,1.2,70.52,64.01
2.85,2.77,53.76,53.83
2.26,4.5,49.04,87.23
3.28,2.95,60.52,73.38
7,1,78.71,50.55
1.39,3.34,54.49,78.61
4.35,4.11,94.5,81.21
1.86,1.71,98.28,85.32
6.98,4.36,60.12,50.27
1.36,2.909313072,85.23,100
3.46,5,92.1,91.43
5.89,4.3,76.99,61.38
5.36,3.38,66.17,65.03
3.09,3.31,36.56,58.83
3.57,2.24,12.65,72.71
3.05,2.909313072,70.03,90.81
2.81,2.07,73.23,80.13
2.26,4,87.19,100
3.69,2.43,62.07,57.05
2.29,4,62.76976795,93.89
2.4,2.32,0.5,79.92
3.958567264,2.77,57.01,41.86
7,3.15,67.92,57.31
4.59,2.9,58.74,58.59
1.06,2.909313072,78.36,58.95
1.83,4.08,60.85,86.84
6.7,1.9,56.14,39.13
2.72,3.99,75.91,86.16
1.46,3.75,77.38,71.26
4.46,1,66.72,51.5
4.77,2.9,81.52,84.03
4.99,2.25,24.24,55.54
2.57,1.41,1.98,70.89
1.49,5,62.76976795,88.42
6.61,1.24,53.09,50.49
2.59,4,59.43,95.08
4.86,3.5,57.11,62.95
5.49,1,83.7,58.66
4.26,5,69.56,73.79
2.57,1.52,69.99,58.57
2.93,3.98,88.24,78.99
4.27,4.6,74.97,79.32
6.33,1.5,86.28,64.38
7,5,75.26,66.1
1.66,4.41,79.65,83.11
1.62,5,88.04,91.67
6.49,4,80.37,75.04
5.74,2.89,60.59,55.1
6.15,1.8,89.46,51.55
2.44,2.74,97.45,78.41
4.81,3.61,44.37,67.28
5.21,3.51,78.86,47.23
5.36,2.62,54.31,36.42
3.27,1.37,67.94,63.06
1.11,3.88,6.16,98.57
4.69,1.78,91.76,80.81
3.958567264,4.21,75.67,73.07
3.47,3.37,60.98,65.02
6.9,4.02,62.76976795,37.11
3.55,2.48,73.22,52.4
6.03,1,95.07,45.37
2.43,5,61.22,84.21
5.01,3.99,51.58,79.55
7,3.26,71.67,36.84
1.85,1.8,63.53,65.24
1,2.12,4.74,72.95
3.5,2.65,73,64.86
1.73,1,83.49,66.97
5.88,2.01,2.02,46.67
6.17,1.6,87.59,47.98
3.61,4.9,57.66,80.01
2.17,2.85,69.79,82.27
3.39,3.34,82.8,77.52
5.53,3.35,62.76976795,56.58
1,2.64,3.92,100
4.7,5,59.76,82.37
5.08,1,67.95,52.95
5.3,1.69,56.12,46.97
2.17,2.1,60.84,68.69
5.53,2.97,93.24,49.79
1.98,3.55,55.23,87.56
1.79,2.33,97.58,84.62
6.17,2.89,6.59,48.43
5.85,1.32,76.84,50.28
1,4.77,9.15,87
2.92,4,85.53,92.5
2.32,2.62,45.51,69.07
2.22,2.62,88.5,88.84
3.958567264,1.8,67.97,58.96
1.21,1,38.16,54.57
3.53,4.81,60.23,67
3.958567264,1,62.76976795,33.35
4.62,2.69,67.52,43.68
5.02,1,27.7,46.23
1.08,4.86,36.73,80.35
7,1.81,81.41,67.69
6.01,1.8,94.72,54.38
6.15,4.47,91.98,67.91
6.26,1.8,62.63,42.69
6.42,1.45,17.27,48.58
3.77,2.45,59.65,57.01
2.61,3.42,98.55,87.14
4.96,5,77.47,88.91
5.07,3.75,59.13,71.99
3.958567264,1,92.04,47.2
3.65,4,69.76,83
1,2.87,62.83,71.87
3.26,5,63.03,88.22
6.12,2.93,69.66,42.49
4.97,2.909313072,75.25,62.19
4.62,1.17,94.63,56.43
2.76,1.8,93.44,65.46
2.77,4.71,78.72,76.67
6.19,5,26.73,66.86
4.87,2.44,70.17,69.76
5.7,1.86,98.78,72.53
3.4,4.85,80.39,80.35
4.86,1,62.93,55.18
2.43,1.98,72.49,52.48
5.68,1,76.6,39.02
4.01,1.4,71.45,63.12
3.73,1,62.76976795,66.14
5.04,1,92.57,49.03
6.26,1.52,75.37,39.95
1.1,1,38.54,65.95
6.35,2.66,67.01,70.52
2.95,1.8,58.85,58.61
3.35,2.95,96.96,76.07
1.2,2.37,1.26,82.69
3.24,4.77,90.03,79.99
3.87,2.2,85.77,57.45
1.03,1.28,89.55,78.6
3.958567264,1.8,96.84,53.79
6.52,2.38,81.17,48.59
1.55,3.35,72.61,77.2
5.36,2.25,58.38,60.08
3.85,5,81.34,75.03
5.28,1.13,88.61,71.45
2.46,1.74,63.58,69.58
1.49,1,87.04,77
1.91,2.909313072,88.92,90.7
1.1,1.8,91.56,76.98
1.75,2.94,34.43,80.52
4.88,3.03,84.08,77.85
5.89,1.68,65.21,45.07
6.34,1.99,86.95,56.55
4.66,1,73.15,55.43
1.56,1,29.54,61.72
2.4,1.8,62.76976795,52.02
3.05,1.25,62.76976795,49.21
2.08,2.55,58.9,57.48
4.14,2.82,9.28,58.75
4.48,2.4,80.9,87.15
3.59,2.74,92.43,67.23
3.32,4.54,51.04,82.78
5.57,4,53.31,66.55
5.33,5,40.51,75.65
3.08,3.35,62.76976795,86.56
6.2,2.26,20.34,47.19
6.67,2.09,39.83,31.69
3.44,2.28,61.6,74
